Ward No.,Community/Public,Location of all the Public Toilets,"Status of the Toilet
(Constructed/Under Construction)","Unique ID of CT/PT
 (if th ULB says YES in the above question)","Landmark
(Nearest Residential Area/
Commercial Area)",Whether the PTU has been monitized?,Type of Monitization,ICT Feedback device (wall mounted) installed?,,,,,Located on Google Maps,"Whether IEC Messaging (Suresh Raina - Swachh Sauchalaya) of
 MoUD 2017 is avaiable at the CT/PT? "
15,Public,"82, Tulshibaug, Budhwar Peth, Pune, Maharashtra 411002, India",Constructed,PMC/015/PTB/087,"82, Tulshibaug, Budhwar Peth, Pune, Maharashtra 411002, India",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
15,Public,"2164/5, Venkoji Shinde Road, Vijayanagar Colony, Municipal Colony, Pune, Maharashtra 411030, India",Constructed,PMC/015/PTB/088,"2164/5, Venkoji Shinde Road, Vijayanagar Colony, Municipal Colony, ",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
16,Public," Rasta Peth, Pune, Maharashtra 411011, India",Constructed,PMC/016/PTB/089,"1245, Mudaliar Road,",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
16,Public," Kasba Peth, Pune, Maharashtra 411011, India",Constructed,PMC/016/PTB/090,"Veer Santaji Ghorpade Road,",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
16,Public," Kasba Peth, Pune, Maharashtra 411011, India",Constructed,PMC/016/PTB/091,"283, Yashodatta Housing Society,",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
16,Public,"1, Gadge Maharaj Path, Somwar Peth, Pune, Maharashtra 411011, India",Constructed,PMC/016/PTB/092,"1, Gadge Maharaj Path, Somwar Peth, Pune, Maharashtra 411011, India",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
16,Public,"180, Shivaji Road, Dattavadi, Shobhapur, Kasba Peth, Pune, Maharashtra 411011, India",Constructed,PMC/016/PTB/093,"180, Shivaji Road, Dattavadi, Shobhapur, Kasba Peth, ",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
16,Public,"Veer Santaji Ghorpade Road, Adarsh Indira Nagar, Juna Bazar, Kasba Peth, Pune, Maharashtra 411011, India",Constructed,PMC/016/PTB/094,"Veer Santaji Ghorpade Road, Adarsh Indira Nagar, Juna Bazar, Kasba Peth, ",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
16,Public,"1013, Veer Santaji Ghorpade Road, Kasba Peth, Pune, Maharashtra 411011, India",Constructed,PMC/016/PTB/095,"1013, Veer Santaji Ghorpade Road, Kasba Peth, ",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
17,Public," Katad Khana, Pune, Maharashtra 411042, India",Constructed,PMC/017/PTB/096,"13/375, Raut Road, Chitragupt Colony, Shanti Nagar Society,",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
17,Public,"537, Rabibar Peth, Pune, Maharashtra 411002, India",Constructed,PMC/017/PTB/097,"537, Rabibar Peth, Pune, Maharashtra 411002, India",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
17,Public,"768, Mirza Galib Road, Rabibar Peth, Pune, Maharashtra 411002, India",Constructed,PMC/017/PTB/098,"768, Mirza Galib Road, Rabibar Peth, Pune, Maharashtra 411002, India",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
