Ward No.,Community/Public,Location of all the Public Toilets,"Status of the Toilet
(Constructed/Under Construction)","Unique ID of CT/PT
 (if th ULB says YES in the above question)","Landmark
(Nearest Residential Area/
Commercial Area)",Whether the PTU has been monitized?,Type of Monitization,ICT Feedback device (wall mounted) installed?,,,,,Located on Google Maps,"Whether IEC Messaging (Suresh Raina - Swachh Sauchalaya) of
 MoUD 2017 is avaiable at the CT/PT? "
11,Community,kelawadi,Constructed,PMC/011/CTB/177,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
11,Community,kelwadi ,Constructed,PMC/011/CTB/178,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
11,Community,vasant nagar,Constructed,PMC/011/CTB/179,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
11,Community,hanuman nagar,Constructed,PMC/011/CTB/180,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
11,Community,hanuman nagar,Constructed,PMC/011/CTB/181,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
11,Community,hanuman nagar,Constructed,PMC/011/CTB/182,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
11,Community,raut wadi,Constructed,PMC/011/CTB/183,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
11,Community,hanumagar nagar,Constructed,PMC/011/CTB/184,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
11,Community,raut wadi ,Constructed,PMC/011/CTB/185,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
11,Community,hanuman nagar,Constructed,PMC/011/CTB/186,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
11,Community,hanuman nagar,Constructed,PMC/011/CTB/187,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
11,Community,hanuman nagar,Constructed,PMC/011/CTB/188,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
11,Community,hanuman nagr,Constructed,PMC/011/CTB/189,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
11,Community,hanuman nagar,Constructed,PMC/011/CTB/190,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
11,Community,kelwadi indra park,Constructed,PMC/011/CTB/191,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
11,Community,kishkinga nagar,Constructed,PMC/011/CTB/192,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
11,Community,kishkinga nagar,Constructed,PMC/011/CTB/193,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
11,Community,kishkinga nagar,Constructed,PMC/011/CTB/194,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
11,Community,kiskindha nagar,Constructed,PMC/011/CTB/195,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
11,Community,jaybhavani nagar 3 k,Constructed,PMC/011/CTB/196,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
11,Community,jaybhavani nagar k line,Constructed,PMC/011/CTB/197,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
11,Community,jaybhavani nagar,Constructed,PMC/011/CTB/198,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
11,Community,jaybhavani nagar 17a aline,Constructed,PMC/011/CTB/199,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
11,Community,jaybhavni nagar a line,Constructed,PMC/011/CTB/200,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
11,Community,jay bhavani nagar,Constructed,PMC/011/CTB/201,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
11,Community,vetal nagar,Constructed,PMC/011/CTB/202,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
11,Community,shipai chal,Constructed,PMC/011/CTB/203,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
11,Community,kelwadi,Constructed,PMC/011/CTB/204,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
11,Community,kelwadi,Constructed,PMC/011/CTB/205,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
12,Community,lakshmi nagar,Constructed,PMC/012/CTB/206,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
12,Community,sidharth nagar,Constructed,PMC/012/CTB/207,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
12,Community,bhimanagar,Constructed,PMC/012/CTB/208,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
12,Community,bhimnagar ward 26,Constructed,PMC/012/CTB/209,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
12,Community,prabhak33,Constructed,PMC/012/CTB/210,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
12,Community,prabhak 33,Constructed,PMC/012/CTB/211,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
12,Community,daal vasti,Constructed,PMC/012/CTB/212,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
12,Community,shravan dara a,Constructed,PMC/012/CTB/213,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
12,Community,prabhak 33,Constructed,PMC/012/CTB/214,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
12,Community,lashami nagar,Constructed,PMC/012/CTB/215,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
13,Community,rajput veetbhaati 14 no,Constructed,PMC/013/CTB/216,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
13,Community,khilarwadi no 15,Constructed,PMC/013/CTB/217,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
13,Community,bhalekar wasti ,Constructed,PMC/013/CTB/218,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
13,Community,bhalekar wasti ,Constructed,PMC/013/CTB/219,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
13,Community,karvi mat,Constructed,PMC/013/CTB/220,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
13,Community,gosavi vasti Len no 3,Constructed,PMC/013/CTB/221,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
13,Community,gosavi vasti,Constructed,PMC/013/CTB/222,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
13,Community,gosavi vasti number 1,Constructed,PMC/013/CTB/223,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
13,Community,shivne gavdhan,Constructed,PMC/013/CTB/224,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
13,Community,gosavi vasti,Constructed,PMC/013/CTB/225,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
13,Community,karve nagar,Constructed,PMC/013/CTB/226,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
13,Community,Kali number 7,Constructed,PMC/013/CTB/227,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
13,Community,teen chawl,Constructed,PMC/013/CTB/228,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
13,Community,daal vasti,Constructed,PMC/013/CTB/229,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
13,Community,rasheshri Shau vasahat,Constructed,PMC/013/CTB/230,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
13,Community,Ganesh nagar vasahat,Constructed,PMC/013/CTB/231,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
13,Community,sanjay gadi vasahat,Constructed,PMC/013/CTB/232,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
13,Community,prabhak 33 lashami nagar,Constructed,PMC/013/CTB/233,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
13,Community,dhalchal vasti,Constructed,PMC/013/CTB/234,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
13,Community,padhit nehru vasahat,Constructed,PMC/013/CTB/235,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
13,Community,kolekar vasti,Constructed,PMC/013/CTB/236,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
13,Community,khilare vasti,Constructed,PMC/013/CTB/237,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
13,Community,tilak vasti,Constructed,PMC/013/CTB/238,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
13,Community,teel chawl 212,Constructed,PMC/013/CTB/239,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
14,Community,pandav nagar ,Constructed,PMC/014/CTB/240,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
14,Community,health camp chaul no 8,Constructed,PMC/014/CTB/241,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
14,Community,pandav nagar,Constructed,PMC/014/CTB/242,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
14,Community,health camp ,Constructed,PMC/014/CTB/243,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
14,Community,pandav nagar,Constructed,PMC/014/CTB/244,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
14,Community,health camp chaul no 10,Constructed,PMC/014/CTB/245,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
14,Community,pandav nagar ,Constructed,PMC/014/CTB/246,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
14,Community,pandav nagar,Constructed,PMC/014/CTB/247,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
14,Community,pandav nagar ,Constructed,PMC/014/CTB/248,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
14,Community,pandav nagar,Constructed,PMC/014/CTB/249,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
14,Community,pandav nagar ,Constructed,PMC/014/CTB/250,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
14,Community,pandav nagae,Constructed,PMC/014/CTB/251,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
14,Community,wadar wadi,Constructed,PMC/014/CTB/252,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
14,Community,wadar wadi,Constructed,PMC/014/CTB/253,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
14,Community,wadar wadi,Constructed,PMC/014/CTB/254,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
14,Community,wadar wadi,Constructed,PMC/014/CTB/255,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
14,Community,wadar wadi,Constructed,PMC/014/CTB/256,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
14,Community,wadar wadi,Constructed,PMC/014/CTB/257,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
14,Community,wadar wadi,Constructed,PMC/014/CTB/258,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
14,Community,wader wadi,Constructed,PMC/014/CTB/259,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
14,Community,wadar wadi,Constructed,PMC/014/CTB/260,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
14,Community,wadar wadi,Constructed,PMC/014/CTB/261,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
14,Community,wader wadi,Constructed,PMC/014/CTB/262,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
14,Community,wader wadi,Constructed,PMC/014/CTB/263,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
14,Community,wader wadi,Constructed,PMC/014/CTB/264,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
14,Community,wadar wadi,Constructed,PMC/014/CTB/265,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
14,Community,Fish market,Constructed,PMC/014/CTB/266,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
14,Community,1216 patil bunglow ,Constructed,PMC/014/CTB/267,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
14,Community,1216,Constructed,PMC/014/CTB/268,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
14,Community,1216 patil bunglow ,Constructed,PMC/014/CTB/269,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
14,Community,pulachiwadi ,Constructed,PMC/014/CTB/270,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
14,Community,pulachiwadi ,Constructed,PMC/014/CTB/271,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
14,Community,pulachiwadi ,Constructed,PMC/014/CTB/272,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
14,Community,pulachiwadi ,Constructed,PMC/014/CTB/273,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
14,Community,pulachiwadi,Constructed,PMC/014/CTB/274,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
14,Community,ramoshi wadi,Constructed,PMC/014/CTB/275,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
14,Community,ramoshi wadi,Constructed,PMC/014/CTB/276,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
14,Community,ramoshi wadi,Constructed,PMC/014/CTB/277,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
14,Community,ram narayan bungla ,Constructed,PMC/014/CTB/278,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
14,Community,gajmal wadi,Constructed,PMC/014/CTB/279,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
14,Community,dutta vasahat ,Constructed,PMC/014/CTB/280,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
14,Community,1202 shivaji nagar dutta vasahat ,Constructed,PMC/014/CTB/281,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
14,Community,dutta vasahat 1202 FC road ,Constructed,PMC/014/CTB/282,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
14,Community,kamgar pootla ,Constructed,PMC/014/CTB/283,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
14,Community,kamgar pootla ,Constructed,PMC/014/CTB/284,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
14,Community,kamgar pootla ,Constructed,PMC/014/CTB/285,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
14,Community,Rajiv Gandhi nagar ,Constructed,PMC/014/CTB/286,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
14,Community,Rajiv Gandhi nagar ,Constructed,PMC/014/CTB/287,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
14,Community,Rajiv Gandhi nagar ,Constructed,PMC/014/CTB/288,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
14,Community,Rajiv Gandhi nagar ,Constructed,PMC/014/CTB/289,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
14,Community,tofkhana shikshan mandala road ,Constructed,PMC/014/CTB/290,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
14,Community,manapa bhavan ,Constructed,PMC/014/CTB/291,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
14,Community,boudh vasti,Constructed,PMC/014/CTB/292,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
14,Community,ramoshi wadi ,Constructed,PMC/014/CTB/293,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
14,Community,ramoshi wadi ,Constructed,PMC/014/CTB/294,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
14,Community,chafekar nagar ,Constructed,PMC/014/CTB/295,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
14,Community,chafekar nagar ,Constructed,PMC/014/CTB/296,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
14,Community,amrave galli ,Constructed,PMC/014/CTB/297,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
14,Community,shivaji vyayam mandal ,Constructed,PMC/014/CTB/298,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
14,Community,naad galli,Constructed,PMC/014/CTB/299,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
14,Community,shivaji nagar gaothan ,Constructed,PMC/014/CTB/300,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
14,Community,shivaji nagar gaothan ,Constructed,PMC/014/CTB/301,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
15,Community,burud alei,Constructed,PMC/015/CTB/302,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
15,Community,shukarwar peth,Constructed,PMC/015/CTB/303,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
15,Community,shukarwar peth,Constructed,PMC/015/CTB/304,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
15,Community,guarwar peth,Constructed,PMC/015/CTB/305,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
15,Community,alaka chuk,Constructed,PMC/015/CTB/306,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
15,Community,jondile chuk,Constructed,PMC/015/CTB/307,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
15,Community,V B go gate school,Constructed,PMC/015/CTB/308,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
15,Community,pulachi wadi,Constructed,PMC/015/CTB/309,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
15,Community,narayan peth,Constructed,PMC/015/CTB/310,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
15,Community,hamal wada narayan peth,Constructed,PMC/015/CTB/311,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
15,Community,hujur paka,Constructed,PMC/015/CTB/312,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
15,Community,shaniwar peth,Constructed,PMC/015/CTB/313,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
15,Community,shaniwar peth,Constructed,PMC/015/CTB/314,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
15,Community,jogajog  karilay shaniwar peth,Constructed,PMC/015/CTB/315,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
15,Community,vishrambuag ,Constructed,PMC/015/CTB/316,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
16,Community,shivle bol,Constructed,PMC/016/CTB/317,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
16,Community,236 samwar peth,Constructed,PMC/016/CTB/318,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
16,Community,futana wada,Constructed,PMC/016/CTB/319,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
16,Community,920 rastemagwada,Constructed,PMC/016/CTB/320,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
16,Community,kagdi pura vasti,Constructed,PMC/016/CTB/321,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
16,Community,pmc colony,Constructed,PMC/016/CTB/322,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
16,Community,pmc colony,Constructed,PMC/016/CTB/323,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
16,Community,kumbharwada vasti,Constructed,PMC/016/CTB/324,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
16,Community,bhoiali vasti,Constructed,PMC/016/CTB/325,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
16,Community,agarwal talim,Constructed,PMC/016/CTB/326,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
16,Community,ghulewadi vasti,Constructed,PMC/016/CTB/327,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
16,Community,mangal vasti,Constructed,PMC/016/CTB/328,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
16,Community,mangal vasti,Constructed,PMC/016/CTB/329,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
16,Community,mangal vasti,Constructed,PMC/016/CTB/330,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
16,Community,mangal vasti,Constructed,PMC/016/CTB/331,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
16,Community,managal vasti,Constructed,PMC/016/CTB/332,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
16,Community,mangalwar vasti,Constructed,PMC/016/CTB/333,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
16,Community,mariam vasti,Constructed,PMC/016/CTB/334,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
16,Community,mariam nagar vasti,Constructed,PMC/016/CTB/335,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
16,Community,managalwar vasti,Constructed,PMC/016/CTB/336,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
16,Community,managalwar wasti,Constructed,PMC/016/CTB/337,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
16,Community,managalwar vasti,Constructed,PMC/016/CTB/338,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
16,Community,bhimnagar vasti,Constructed,PMC/016/CTB/339,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
16,Community,bhimnagar vasti,Constructed,PMC/016/CTB/340,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
16,Community,bhimnagar vasati,Constructed,PMC/016/CTB/341,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
16,Community,Gosawi vasati,Constructed,PMC/016/CTB/342,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
16,Community,akhil vasti,Constructed,PMC/016/CTB/343,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
16,Community,zuna bazar vasti 217,Constructed,PMC/016/CTB/344,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
16,Community,somwar peth,Constructed,PMC/016/CTB/345,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
16,Community,mangalwar peth,Constructed,PMC/016/CTB/346,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
17,Community,"darekar, ganesh peth",Constructed,PMC/017/CTB/347,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
17,Community,nana peth 107,Constructed,PMC/017/CTB/348,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
17,Community,21 papamiya ,Constructed,PMC/017/CTB/349,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
17,Community,kera nana peth,Constructed,PMC/017/CTB/350,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
17,Community,"261, bhandari bol",Constructed,PMC/017/CTB/351,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
17,Community,kamgar medan1145,Constructed,PMC/017/CTB/352,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
17,Community,"kaikar galli, 1111",Constructed,PMC/017/CTB/353,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
17,Community,chamde galli,Constructed,PMC/017/CTB/354,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
17,Community,"palkhi chowk, bhavani peth",Constructed,PMC/017/CTB/355,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
17,Community,menkar wada,Constructed,PMC/017/CTB/356,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
17,Community,menkar wada,Constructed,PMC/017/CTB/357,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
17,Community,menkar wada,Constructed,PMC/017/CTB/358,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
17,Community,menkar wada,Constructed,PMC/017/CTB/359,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
17,Community,menkar wada,Constructed,PMC/017/CTB/360,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
17,Community,"burudi pul, 1 ,ganesh peth",Constructed,PMC/017/CTB/361,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
17,Community,nade galli,Constructed,PMC/017/CTB/362,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
17,Community,"197,'ganesh peth",Constructed,PMC/017/CTB/363,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
17,Community,"juna bazar , ganesh peth",Constructed,PMC/017/CTB/364,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
17,Community,112 ganesh peth,Constructed,PMC/017/CTB/365,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
17,Community,"52, ganesh peth",Constructed,PMC/017/CTB/366,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
17,Community,"172 , ganesh peth",Constructed,PMC/017/CTB/367,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
17,Community,ganesh peth 540,Constructed,PMC/017/CTB/368,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
17,Community,1052 nanapeth,Constructed,PMC/017/CTB/369,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
17,Community, 1052 new nanapeth,Constructed,PMC/017/CTB/370,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
17,Community,700 nanapeth,Constructed,PMC/017/CTB/371,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
17,Community,raviwar peth,Constructed,PMC/017/CTB/372,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
17,Community,ganish peth,Constructed,PMC/017/CTB/373,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
17,Community,beidar ale raviwar peth,Constructed,PMC/017/CTB/374,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
17,Community,phadak haud,Constructed,PMC/017/CTB/375,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
18,Community,436 gurwar peth,Constructed,PMC/018/CTB/376,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
18,Community,325 gurwa peth,Constructed,PMC/018/CTB/377,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
18,Community,"633, ganjpeth",Constructed,PMC/018/CTB/378,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
18,Community,samatabhumi,Constructed,PMC/018/CTB/379,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
18,Community,timber market. 139,Constructed,PMC/018/CTB/380,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
18,Community,angarsha chotya takiya,Constructed,PMC/018/CTB/381,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
18,Community,chota tatya,Constructed,PMC/018/CTB/382,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
